folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename,meta_pos,meta_frame,meta_ch,meta_slice
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,9816605c-42dd-49bd-a3f1-2237fd7fe536,2014-11-30 16:44:19 -0800,0,0,0,4,2658,,434.1,-2283.2000000000003,1,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,339e68da-d384-48d1-bce8-e1c38b25e1b8,2014-11-30 16:44:19 -0800,0,0,1,4,9463,,434.1,-2283.2000000000003,1,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,259e70da-ba21-4897-a033-21ea468e7fb6,2014-11-30 16:46:45 -0800,0,0,0,4,2633,,-922.8000000000001,-1729.8,1,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,96f2bf05-e833-407f-9a79-792ccea5a86f,2014-11-30 16:46:45 -0800,0,0,1,4,9458,,-922.8000000000001,-1729.8,1,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,8853ac0b-3254-40bf-8918-098bac58ab20,2014-11-30 16:49:21 -0800,0,0,0,4,2642,,-805.2,-1179.6000000000001,1,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,23ea1db2-8be4-47d2-b7cf-f44d6f2e8768,2014-11-30 16:49:21 -0800,0,0,1,4,9454,,-805.2,-1179.6000000000001,1,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,9cce3ef1-2d57-488a-a390-25a3c76a96f7,2014-11-30 16:40:05 -0800,0,0,0,5,3117,,165.1,-3280.1,1.5,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,fecfe4ae-8abd-424c-a0ad-0d7af926aac3,2014-11-30 16:40:05 -0800,0,0,1,5,9942,,165.1,-3280.1,1.5,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,d84b8257-3cc2-4e4e-b0a9-79165897ee7b,2014-11-30 16:42:37 -0800,0,0,0,5,3100,,184.5,-2635.9,1.5,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,93c5a580-8a46-4bc5-85cf-fc639d57bffc,2014-11-30 16:42:37 -0800,0,0,1,5,9945,,184.5,-2635.9,1.5,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,d129be54-487c-4c1d-9358-6d2f307bda35,2014-11-30 16:44:19 -0800,0,0,0,5,3107,,434.1,-2283.2000000000003,1.5,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,e46b9393-369a-4b70-86a4-9e1d9ca5627a,2014-11-30 16:44:19 -0800,0,0,1,5,9914,,434.1,-2283.2000000000003,1.5,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,9c8b9043-21c8-4e18-aa92-054e6fa018ef,2014-11-30 16:46:45 -0800,0,0,0,5,3084,,-922.8000000000001,-1729.8,1.5,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,18c305c8-2dd7-4798-bf64-d93397446d2b,2014-11-30 16:46:45 -0800,0,0,1,5,9909,,-922.8000000000001,-1729.8,1.5,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,cf4635d3-97e1-48f6-b366-7fa9609e7c68,2014-11-30 16:49:21 -0800,0,0,0,5,3092,,-805.2,-1179.6000000000001,1.5,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,6ecacf4c-4313-4cd3-adf0-53158d88e997,2014-11-30 16:49:21 -0800,0,0,1,5,9904,,-805.2,-1179.6000000000001,1.5,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,e1845f3e-a066-4a92-8526-bf36d5aa6f2c,2014-11-30 16:40:05 -0800,0,0,0,6,3589,,165.1,-3280.1,2,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,427202a0-e9be-48d0-b36c-012f681623af,2014-11-30 16:40:05 -0800,0,0,1,6,10392,,165.1,-3280.1,2,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,d63f84ef-3814-4eec-8c83-d565e1d2486f,2014-11-30 16:42:37 -0800,0,0,0,6,3560,,184.5,-2635.9,2,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,56897d01-1505-42a6-bcf1-6e74290ade2a,2014-11-30 16:42:37 -0800,0,0,1,6,10394,,184.5,-2635.9,2,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,6696f947-0849-4356-bd3d-b5aad4ffc162,2014-11-30 16:44:19 -0800,0,0,0,6,3558,,434.1,-2283.2000000000003,2,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,ace6287c-b9ad-4876-b9aa-511440017b39,2014-11-30 16:44:19 -0800,0,0,1,6,10374,,434.1,-2283.2000000000003,2,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,ccbd439e-540a-43a6-8a1d-33e2c61b868c,2014-11-30 16:46:45 -0800,0,0,0,6,3535,,-922.8000000000001,-1729.8,2,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,78169714-7c7e-4df3-8eeb-fbc6b4916bc4,2014-11-30 16:46:45 -0800,0,0,1,6,10368,,-922.8000000000001,-1729.8,2,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,293625a0-dd26-48fb-81ed-3401dfb063a1,2014-11-30 16:49:21 -0800,0,0,0,6,3541,,-805.2,-1179.6000000000001,2,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,a51f9e32-6ef6-4c0d-8035-a164bfb401d8,2014-11-30 16:49:21 -0800,0,0,1,6,10353,,-805.2,-1179.6000000000001,2,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,6faa97a1-c41c-4041-8b0b-ada3815a532a,2014-11-30 16:40:05 -0800,0,0,1,7,10843,,165.1,-3280.1,2.5,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,160659a8-8fc8-4e3b-a62e-08fa5e7e4ea0,2014-11-30 16:40:05 -0800,0,0,0,7,4041,,165.1,-3280.1,2.5,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,4c011a2a-8c8f-45d4-8ac4-81142c9ac889,2014-11-30 16:42:37 -0800,0,0,1,7,10844,,184.5,-2635.9,2.5,,561confocalEM,,1,0,0,0
