ID,Area,XM,YM,Slice
457,494,1147.686,13.156,28
458,488,716.514,108.238,28
459,433,774.805,233.803,28
460,695,736.448,246.493,28
461,319,1308.030,385.817,28
462,338,739.402,446.453,28
463,439,1103.484,466.919,28
464,625,781.401,472.564,28
465,331,837.183,487.579,28
466,398,823.628,562.352,28
467,448,336.828,779.804,28
468,587,137.802,798.059,28
469,633,1247.007,806.067,28
470,309,1255.487,847.927,28
471,550,168.244,877.315,28
472,743,691.417,98.003,29
473,534,665.622,108.155,29
474,492,1128.819,88.561,29
475,359,768.130,195.494,29
476,563,722.546,212.369,29
477,361,1334.788,399.475,29
478,633,764.852,436.066,29
479,925,783.550,468.531,29
480,483,1043.529,467.606,29
481,827,948.235,730.213,29
482,695,128.192,756.107,29
483,693,1276.510,757.437,29
484,894,1240.428,795.252,29
485,398,319.399,808.111,29
486,507,1207.003,851.437,29
487,722,1163.374,859.271,29
488,827,134.932,881.991,29
489,346,626.090,16.988,30
490,339,658.444,10.925,30
491,388,696.673,30.201,30
492,325,1131.737,70.377,30
493,339,1337.550,398.400,30
494,366,784.194,420.287,30
495,837,783.169,462.745,30
496,487,1042.566,459.646,30
497,862,1219.415,777.303,30
498,545,961.461,764.689,30
499,480,150.271,782.081,30
500,853,1126.514,831.352,30
501,453,1165.451,844.683,30
502,365,142.875,844.755,30
503,550,1290.378,1018.595,30
504,689,630.474,33.964,31
505,316,652.316,26.193,31
506,418,716.280,29.756,31
507,515,1072.908,59.273,31
508,371,1096.309,88.519,31
509,326,727.264,146.334,31
510,329,1344.506,395.394,31
511,511,1047.931,447.842,31
512,397,1297.419,437.054,31
513,432,761.956,460.583,31
514,389,842.045,663.544,31
515,698,1210.562,762.470,31
516,673,182.146,783.445,31
517,671,970.358,785.332,31
518,542,1071.410,820.068,31
519,567,1118.096,820.962,31
520,363,126.552,819.566,31
521,665,963.840,855.614,31
522,377,1265.256,1017.182,31
523,376,1304.830,1031.540,31
524,447,744.303,22.594,32
525,384,656.492,31.758,32
526,457,1065.281,41.804,32
527,625,614.745,50.852,32
528,450,585.384,71.547,32
529,408,720.235,130.353,32
530,450,1354.078,398.516,32
531,650,1309.212,429.814,32
532,531,1057.189,449.306,32
533,622,756.333,449.169,32
534,375,804.916,485.036,32
535,318,1262.651,710.780,32
536,944,1212.724,746.885,32
537,701,213.851,767.379,32
538,1257,1046.996,816.563,32
539,303,971.153,798.104,32
540,558,1091.991,819.258,32
541,463,1289.645,1025.040,32
542,434,746.159,20.484,33
543,701,787.316,12.751,33
544,1241,1062.515,17.704,33
545,378,1252.146,9.270,33
546,423,682.940,31.838,33
547,319,574.472,63.691,33
548,529,548.020,82.647,33
549,406,703.310,123.256,33
550,597,1355.386,396.865,33
551,457,1303.730,420.714,33
552,428,1132.780,432.643,33
553,1316,774.786,463.584,33
554,805,1075.373,452.383,33
555,591,844.121,588.070,33
556,677,1209.832,733.887,33
557,659,250.373,765.482,33
558,777,1086.622,809.500,33
559,1710,1042.487,827.607,33
560,409,235.830,870.143,33
561,640,1296.203,963.850,33
562,837,1286.733,995.398,33
563,673,713.206,15.726,34
564,408,780.713,19.647,34
565,436,804.204,18.190,34
566,968,1059.827,10.596,34
567,719,1251.999,20.340,34
568,418,682.531,34.258,34
569,413,553.498,73.481,34
570,386,679.604,132.671,34
571,516,1352.455,398.661,34
572,480,1090.579,427.208,34
573,439,753.530,459.967,34
574,304,1076.424,463.289,34
575,603,797.621,496.581,34
576,498,858.351,580.739,34
577,459,869.772,634.999,34
578,705,1214.510,742.248,34
579,698,276.159,763.239,34
580,1608,1034.134,835.486,34
581,318,1061.912,793.336,34
582,742,944.267,862.806,34
583,597,255.954,879.745,34
584,557,1328.793,949.888,34
585,771,1302.115,976.012,34
586,554,1026.505,20.023,35
587,492,1263.004,12.642,35
588,358,529.763,77.542,35
589,620,657.889,128.371,35
590,524,624.574,140.384,35
591,445,1350.693,400.401,35
592,530,1100.083,434.692,35
593,950,788.859,515.584,35
594,772,750.918,548.389,35
595,377,865.492,581.956,35
596,592,808.946,639.086,35
597,364,731.918,643.750,35
598,401,864.261,641.238,35
599,1103,1231.313,743.880,35
600,608,295.814,749.184,35
601,395,63.244,798.161,35
602,1078,1027.893,841.394,35
603,481,936.126,854.639,35
604,399,288.558,883.668,35
605,838,1344.813,941.259,35
606,1005,1317.451,958.760,35
607,554,358.578,998.951,35
608,520,1280.848,19.544,36
609,506,145.966,41.439,36
610,580,518.529,96.260,36
611,818,638.048,120.924,36
612,405,604.349,141.848,36
613,316,1340.316,410.022,36
614,1047,1112.026,456.815,36
615,340,1162.197,463.824,36
616,916,781.073,529.428,36
617,450,725.309,539.336,36
618,320,806.688,620.481,36
619,693,697.079,633.631,36
620,431,735.486,650.094,36
621,968,1229.913,733.312,36
622,659,299.905,756.916,36
623,386,60.609,794.907,36
624,847,1010.862,827.210,36
625,917,1101.790,833.893,36
626,748,1362.559,939.158,36
627,906,1325.095,952.735,36
628,376,302.394,1004.223,36
629,368,16.886,10.660,37
630,598,1306.227,24.639,37
631,514,1342.784,18.305,37
632,529,143.443,37.768,37
633,731,620.142,120.657,37
634,987,499.372,108.970,37
635,373,584.747,130.374,37
636,411,855.449,143.928,37
637,370,1276.273,158.616,37
638,598,8.348,274.931,37
639,331,35.059,262.597,37
640,324,1175.685,278.139,37
641,400,735.838,283.010,37
642,504,734.423,384.871,37
643,396,1333.318,428.336,37
644,457,318.833,425.218,37
645,433,1177.920,455.258,37
646,695,1122.247,460.199,37
647,1099,747.753,532.939,37
648,747,708.835,544.606,37
649,1888,699.535,620.383,37
650,313,602.299,650.478,37
651,493,818.804,679.220,37
652,971,1239.989,732.377,37
653,569,318.767,753.113,37
654,889,1000.290,828.891,37
655,1087,1133.688,848.529,37
656,413,1181.742,842.878,37
657,676,1384.231,929.166,37
658,992,1352.236,939.200,37
659,465,804.995,993.730,37
660,369,345.860,1009.018,37
661,483,304.115,1013.920,37
662,386,483.780,1015.531,37
663,316,68.570,10.342,38
664,323,1038.862,19.816,38
665,512,1347.822,10.617,38
666,583,610.437,118.749,38
667,966,499.359,117.522,38
668,465,856.113,144.556,38
669,460,39.983,291.063,38
670,382,1172.801,290.599,38
671,476,65.099,291.223,38
672,306,1379.974,382.552,38
673,316,733.703,383.953,38
674,570,1319.911,446.482,38
675,554,321.310,423.218,38
676,644,1195.307,456.654,38
677,865,1148.001,458.308,38
678,416,737.481,464.772,38
679,336,788.935,465.554,38
680,1747,729.672,524.971,38
681,2988,695.447,599.119,38
682,359,725.790,648.784,38
683,643,880.942,679.206,38
684,393,826.047,677.307,38
685,344,638.637,686.939,38
686,786,1243.872,734.665,38
687,418,354.524,744.232,38
688,717,322.860,757.316,38
689,466,1008.680,824.155,38
690,695,1216.162,851.625,38
691,998,1168.968,854.556,38
692,1183,1369.309,929.342,38
693,328,286.884,937.305,38
694,810,330.165,1001.623,38
695,373,807.028,991.562,38
696,547,1018.463,19.270,39
697,497,1367.566,9.768,39
698,682,126.095,33.409,39
699,735,95.631,46.353,39
700,1154,498.258,129.686,39
701,319,589.738,113.139,39
702,300,454.653,177.770,39
703,771,65.635,298.097,39
704,439,1173.003,287.466,39
705,358,657.693,315.453,39
706,318,1386.028,376.365,39
707,944,1164.582,460.648,39
708,480,1320.438,450.973,39
709,558,1210.826,456.699,39
710,806,779.117,480.407,39
711,1369,726.921,532.367,39
712,732,684.653,547.279,39
713,328,726.585,646.680,39
714,334,888.207,684.338,39
715,404,1267.200,689.109,39
716,384,813.023,712.771,39
717,436,1250.401,741.851,39
718,500,1387.082,810.866,39
719,883,1215.327,863.965,39
720,739,351.049,999.258,39
721,458,1017.581,21.991,40
722,475,1274.020,10.380,40
723,640,1372.472,13.466,40
724,593,149.923,42.220,40
725,554,590.106,97.861,40
726,801,152.400,94.756,40
727,707,117.371,110.533,40
728,444,507.369,139.200,40
729,343,483.684,138.864,40
730,356,462.952,177.320,40
731,391,660.416,325.763,40
732,432,1317.683,445.637,40
733,906,1171.283,479.589,40
734,510,1219.586,489.261,40
735,1329,721.413,522.995,40
736,442,780.760,498.638,40
737,345,668.935,531.335,40
738,714,873.801,697.108,40
739,1117,828.650,713.407,40
740,346,1270.361,689.335,40
741,302,1281.364,746.238,40
742,1051,1368.962,800.208,40
743,936,1252.908,868.971,40
744,614,378.386,1015.262,40
745,456,1010.654,20.794,41
746,607,1300.403,7.633,41
747,782,1363.460,9.526,41
748,387,146.580,39.753,41
749,420,1284.450,43.719,41
750,510,576.845,92.975,41
751,475,174.460,108.603,41
752,827,143.773,127.423,41
753,628,476.384,161.032,41
754,350,663.529,333.689,41
755,302,1312.430,433.871,41
756,499,1230.374,502.897,41
757,925,1170.117,510.831,41
758,848,729.827,519.591,41
759,1128,835.637,712.354,41
760,519,1271.448,698.259,41
761,491,1287.856,742.913,41
762,906,1355.181,783.313,41
763,440,83.002,802.414,41
764,873,1291.422,887.174,41
765,448,405.685,1020.830,41
766,517,841.541,10.040,42
767,929,992.755,27.463,42
768,388,1357.832,4.405,42
769,706,1316.620,32.224,42
770,325,965.374,48.282,42
771,319,571.274,93.553,42
772,472,499.403,107.322,42
773,655,187.027,124.326,42
774,353,472.013,124.055,42
775,502,105.910,324.426,42
776,375,96.185,352.252,42
777,354,719.910,515.407,42
778,1541,1188.111,536.380,42
779,451,793.090,655.549,42
780,743,1294.131,691.797,42
781,1034,835.260,714.830,42
782,486,860.909,699.660,42
783,708,1296.692,734.079,42
784,394,1349.525,777.652,42
785,852,1329.229,920.781,42
786,642,1370.970,934.215,42
787,411,419.021,1021.641,42
788,500,317.130,1013.464,42
789,886,821.490,15.698,43
790,1109,990.480,33.031,43
791,307,792.637,33.549,43
792,641,967.054,49.361,43
793,740,1329.647,64.473,43
794,1066,223.870,110.969,43
795,503,481.912,97.971,43
796,416,792.810,237.072,43
797,309,1315.691,447.348,43
798,777,714.676,531.020,43
799,506,1185.209,517.986,43
800,659,1184.171,558.250,43
801,563,763.349,562.948,43
802,994,780.171,627.977,43
803,2063,835.242,704.338,43
804,1813,1321.064,712.680,43
805,871,1357.080,937.417,43
806,363,430.136,1025.161,43
807,979,816.365,20.272,44
808,626,986.658,11.176,44
809,368,954.655,35.003,44
810,1136,240.258,107.642,44
811,497,537.214,107.961,44
812,588,1338.716,90.301,44
813,540,796.393,222.167,44
814,317,1167.733,290.011,44
815,379,707.392,515.146,44
816,359,1181.745,523.656,44
817,307,1220.871,528.790,44
818,335,1147.575,555.691,44
819,498,772.048,572.414,44
820,365,942.064,607.927,44
821,367,767.920,603.699,44
822,1537,793.782,674.369,44
823,1450,862.790,688.172,44
824,417,907.363,696.963,44
825,1836,1317.492,711.848,44
826,362,247.923,847.470,44
827,647,1375.651,976.716,44
828,1095,811.320,15.308,45
829,368,960.913,38.492,45
830,644,247.803,98.697,45
831,556,536.399,101.011,45
832,496,476.778,98.831,45
833,307,1360.116,115.292,45
834,380,1327.934,156.974,45
835,300,801.480,201.943,45
836,542,1192.629,538.568,45
837,1591,761.015,584.468,45
838,923,767.272,659.620,45
839,561,924.140,676.299,45
840,1191,882.394,689.053,45
841,761,834.518,685.786,45
842,2240,1302.062,715.798,45
843,566,1345.205,702.539,45
844,1086,812.299,12.830,46
845,400,962.792,26.290,46
846,312,536.606,88.455,46
847,367,46.026,107.522,46
848,493,461.080,111.618,46
849,428,1355.117,137.098,46
850,591,842.481,145.752,46
851,515,654.502,535.267,46
852,494,1187.970,549.441,46
853,620,1149.950,583.560,46
854,625,753.191,579.950,46
855,490,644.500,595.180,46
856,1055,763.807,654.263,46
857,682,944.912,648.971,46
858,1485,913.210,678.751,46
859,849,864.640,702.330,46
860,2170,1317.733,714.851,46
861,920,1264.582,738.388,46
862,304,720.263,713.908,46
863,308,1235.948,865.575,46
864,741,139.917,26.281,47
865,902,165.690,13.224,47
866,932,813.286,12.806,47
867,574,471.183,125.305,47
868,409,837.434,135.256,47
869,714,1341.392,164.366,47
870,353,1351.902,197.259,47
871,403,741.837,522.172,47
872,496,678.710,532.448,47
873,604,1179.869,561.374,47
874,393,1134.999,597.075,47
875,528,648.426,595.462,47
876,630,968.698,628.646,47
877,1264,937.756,642.578,47
878,1305,767.145,657.872,47
879,741,900.119,697.437,47
880,476,1377.450,684.061,47
881,439,934.279,696.833,47
882,1323,1333.988,705.570,47
883,349,721.153,719.417,47
884,460,1266.302,720.280,47
885,418,1275.878,760.809,47
886,520,1335.804,785.481,47
887,437,1340.665,1035.850,47
888,913,169.514,18.580,48
889,800,815.016,10.869,48
890,730,145.082,31.170,48
891,484,51.946,116.366,48
892,457,826.793,125.550,48
893,592,475.257,127.610,48
894,322,448.776,152.211,48
895,690,1353.045,180.523,48
896,319,697.785,301.252,48
897,855,752.257,526.518,48
898,587,701.899,536.261,48
899,706,1173.405,573.358,48
900,1391,947.572,635.143,48
901,560,1137.011,610.432,48
902,467,970.037,618.772,48
903,1462,771.839,669.899,48
904,883,935.729,677.869,48
905,761,1366.614,650.271,48
906,830,1347.711,677.634,48
907,451,1239.651,745.562,48
908,941,1321.246,772.873,48
909,401,1340.258,1027.161,48
910,594,813.766,9.557,49
911,466,996.888,10.015,49
912,881,162.688,25.253,49
913,712,137.975,38.600,49
914,1017,470.125,126.056,49
915,435,816.530,114.263,49
916,332,563.286,114.048,49
917,795,1350.427,195.793,49
918,593,713.851,536.561,49
919,435,764.017,552.845,49
920,840,948.187,567.986,49
921,694,1160.553,587.974,49
922,844,1127.153,619.274,49
923,1018,988.806,653.370,49
924,592,795.331,647.275,49
925,1697,1347.371,645.664,49
926,1181,961.556,675.061,49
927,1199,769.970,677.101,49
928,769,1242.207,768.367,49
929,701,1325.981,777.557,49
930,384,813.951,7.615,50
931,463,995.513,11.584,50
932,1151,164.331,39.087,50
933,646,131.989,51.601,50
934,1287,498.423,110.425,50
935,483,576.846,114.962,50
936,481,810.354,111.215,50
937,635,1354.662,206.905,50
938,646,722.590,538.104,50
939,377,1010.964,531.667,50
940,773,973.896,545.425,50
941,405,772.809,560.332,50
