id,from,to,from_frame,to_frame
1012,763,791,34,35
1013,735,763,33,34
1014,706,735,32,33
1015,678,706,31,32
1016,650,678,30,31
1017,626,650,29,30
1018,599,626,28,29
1019,573,599,27,28
1020,547,573,26,27
1021,665,693,30,31
1022,639,665,29,30
1023,614,639,28,29
1024,587,614,27,28
1025,562,587,26,27
1026,703,728,32,33
1027,672,703,31,32
1028,645,672,30,31
1029,621,645,29,30
1030,595,621,28,29
1031,569,595,27,28
1032,737,765,33,34
1033,707,737,32,33
1034,679,707,31,32
1035,651,679,30,31
1036,900,927,39,40
1037,873,900,38,39
1038,848,873,37,38
1039,823,848,36,37
1040,798,823,35,36
1041,772,798,34,35
1042,744,772,33,34
1043,715,744,32,33
1044,687,715,31,32
1045,659,687,30,31
1046,833,857,37,38
1047,807,833,36,37
1048,784,807,35,36
1049,756,784,34,35
1050,727,756,33,34
1051,696,727,32,33
1052,668,696,31,32
1053,1295,1326,53,54
1054,1264,1295,52,53
1055,1236,1264,51,52
1056,1206,1236,50,51
1057,1178,1206,49,50
1058,1147,1178,48,49
1059,1115,1147,47,48
1060,1086,1115,46,47
1061,1055,1086,45,46
1062,1025,1055,44,45
1063,998,1025,43,44
1064,967,998,42,43
1065,939,967,41,42
1066,913,939,40,41
1067,887,913,39,40
1068,861,887,38,39
1069,836,861,37,38
1070,812,836,36,37
1071,789,812,35,36
1072,760,789,34,35
1073,733,760,33,34
1074,701,733,32,33
1075,673,701,31,32
1076,1112,1144,46,47
1077,1082,1112,45,46
1078,1052,1082,44,45
1079,1018,1052,43,44
1080,990,1018,42,43
1081,959,990,41,42
1082,932,959,40,41
1083,906,932,39,40
1084,878,906,38,39
1085,854,878,37,38
1086,829,854,36,37
1087,804,829,35,36
1088,780,804,34,35
1089,752,780,33,34
1090,722,752,32,33
1091,1890,1924,72,73
1092,1854,1890,71,72
1093,1824,1854,70,71
1094,1794,1824,69,70
1095,1764,1794,68,69
1096,1733,1764,67,68
1097,1703,1733,66,67
1098,1671,1703,65,66
1099,1639,1671,64,65
1100,1607,1639,63,64
1101,1570,1607,62,63
1102,1542,1570,61,62
1103,1511,1542,60,61
1104,1481,1511,59,60
1105,1450,1481,58,59
1106,1419,1450,57,58
1107,1391,1419,56,57
1108,1360,1391,55,56
1109,1332,1360,54,55
1110,1301,1332,53,54
1111,1270,1301,52,53
1112,1242,1270,51,52
1113,1212,1242,50,51
1114,1184,1212,49,50
1115,1154,1184,48,49
1116,1121,1154,47,48
1117,1091,1121,46,47
1118,1060,1091,45,46
1119,1027,1060,44,45
1120,999,1027,43,44
1121,968,999,42,43
1122,940,968,41,42
1123,911,940,40,41
1124,883,911,39,40
1125,859,883,38,39
1126,832,859,37,38
1127,808,832,36,37
1128,783,808,35,36
1129,754,783,34,35
1130,724,754,33,34
1131,1905,1940,72,73
1132,1870,1905,71,72
1133,1838,1870,70,71
1134,1807,1838,69,70
1135,1777,1807,68,69
1136,1747,1777,67,68
1137,1716,1747,66,67
1138,1685,1716,65,66
1139,1654,1685,64,65
1140,1621,1654,63,64
1141,1587,1621,62,63
1142,1555,1587,61,62
1143,1524,1555,60,61
