ID,XM,YM,Slice
748,1169.147,682.576,13
749,1002.088,662.157,13
750,157.642,667.629,13
751,1056.909,686.657,13
752,310.609,694.41,13
753,163.382,689.1,13
754,393.006,711.148,13
755,323.049,848.291,13
756,209.97,740.895,13
757,1028.481,731.449,13
758,731.268,729.261,13
759,1138.891,728.464,13
760,154.39,741.935,13
761,23.741,765.153,13
762,1349.701,748.201,13
763,76.544,732.51,13
764,924.422,794.175,13
765,672.939,744.001,13
766,633.618,769.742,13
767,728.851,897.816,13
768,592.576,758.16,13
769,1297.615,761.385,13
770,1209.825,812.569,13
771,96.466,773.683,13
772,903.429,765.414,13
773,1121.408,766.86,13
774,1383.9,786.283,13
775,314.651,787.078,13
776,1097.441,773.005,13
777,496.186,920.369,13
778,629.128,832.589,13
779,846.316,786.518,13
780,142.115,810.471,13
781,1343.376,820.887,13
782,1129.252,796.276,13
783,72.316,876.569,13
784,1148.04,830.714,13
785,1036.047,825.652,13
786,830.883,834.302,13
787,1084.162,812.133,13
788,21.308,821.623,13
789,578.288,820.465,13
790,978.865,821.924,13
791,953.536,832.771,13
792,1249.346,836.908,13
793,405.116,862.036,13
794,1339.172,857.949,13
795,1063.952,918.383,13
796,1245.767,862.927,13
797,984.177,868.08,13
798,1269.935,890.381,13
799,931.265,893.968,13
800,450.79,898.357,13
801,821.111,877.58,13
802,844.914,890.678,13
803,871.282,911,13
804,598.38,951.826,13
805,1174.17,919.283,13
806,1301.088,919.316,13
807,113.475,913.918,13
808,1007.363,925.216,13
809,137.134,913.121,13
810,1383.01,936.61,13
811,1224.373,925.125,13
812,940.244,958.074,13
813,1287.335,948.598,13
814,164.814,967.567,13
815,1149.35,956.665,13
816,1270.859,987.981,13
817,290.898,965.978,13
818,1088.361,966.803,13
819,199.717,1006.54,13
820,1350.983,977.022,13
821,832.232,992.219,13
822,974.786,1008.618,13
823,303.151,999.313,13
824,1161.544,1012.463,13
825,863.794,988.658,13
826,76.878,1014.401,13
827,727.477,1009.647,13
828,1334.168,1020.889,13
829,1072.484,1025.895,13
830,672.339,1013.322,13
831,592.835,1012.482,13
832,808.561,1029.599,13
833,277.229,1031.01,13
834,368.264,1029.749,13
835,653.41,1035.59,13
836,318.642,1035.667,13
837,643.598,55.79,14
838,668.87,85.983,14
839,1124.477,122.226,14
840,1208.849,132.909,14
841,1002.154,168.179,14
842,975.253,223.976,14
843,508.144,255.831,14
844,724.768,275.665,14
845,682.974,346.755,14
846,1340.406,327.508,14
847,971.235,338.026,14
848,527.125,406.351,14
849,682.328,444.519,14
850,1386.088,493.308,14
851,1369.579,509.649,14
852,48.327,537.699,14
853,723.861,542.07,14
854,22.812,553.993,14
